-1156, 3812, 16936, 2407, 504, 313
-916, 3876, 15912, 2586, 642, 374
-1356, 3516, 16028, 2585, 618, 389
-1604, 3120, 14988, 2396, 200, 554
-676, 3680, 13256, 1697, 152, 400
-920, 3312, 13016, 413, -280, -59
-1932, 4188, 13680, -844, -439, 172
-2220, 3600, 15936, -374, -442, 296
-1788, 3708, 15064, -81, 6, 652
-452, 4388, 15204, -992, 287, 407
-896, 4048, 17400, -1019, 376, 180
-72, 4240, 18208, -35, 485, 150
520, 4408, 18544, 648, 660, -372
-192, 4596, 18620, 1022, 576, -722
-440, 4424, 18388, 1803, 791, -785
-728, 4476, 16792, 2113, 1124, -802
-964, 4700, 17560, 609, 1074, -1011
-1904, 4352, 19740, 1169, 1617, -905
-2668, 4380, 19580, 2600, 1604, -186
-500, 5024, 18336, 1395, 1840, -328
96, 5908, 21140, 1337, 389, -708
-3056, 4616, 25480, 4113, 15, -298
-1948, 4632, 21080, 6293, 1218, 291
-528, 5112, 13468, 7014, 1706, 524
-428, 5060, 11624, 3302, -153, 229
-3204, 3688, 15240, 2194, -2502, 352
-2568, 3976, 14800, 3904, -3380, 1380
196, 4920, 13064, 3023, -3484, 1134
508, 3364, 14036, 2771, -1063, 197
-4304, 4728, 12028, 2195, -1939, 1450
-348, 4728, 10272, 806, -2045, 1935
1152, 4548, 14444, -313, -2467, 719
-804, 4520, 14856, 1697, -1093, 308
-2204, 4764, 12280, 1972, -1267, 1010
-716, 4632, 10516, 594, -946, 1129
220, 4476, 10108, -76, -348, 686
-1464, 4788, 10396, -877, -566, 605
-1112, 4624, 10896, -1905, -1218, 982
-500, 4544, 10620, -1591, -794, 1151
-672, 4608, 10088, -2397, -195, 1064
-2256, 4412, 9924, -3270, 346, 1473
-308, 4416, 11036, -4035, 963, 1255
-1676, 4696, 10008, -3458, 1779, 1346
-1460, 4828, 10364, -4664, 2019, 1423
204, 4652, 8464, -5092, 2756, 1384
780, 4884, 6472, -5547, 3214, 1179
1428, 4936, 6108, -6876, 3014, 1328
1444, 5276, 3820, -7575, 2355, 1192
2568, 5184, 3732, -8716, 1482, 843
4964, 4424, 3852, -9445, 808, -11
5216, 4416, 1852, -10771, 860, -1314
4188, 3300, 1292, -12641, 346, -2360
2740, 2528, 2028, -14007, 341, -3109
2236, 1816, 2588, -15204, 1542, -3594
1700, 948, 3112, -16160, 3199, -4014
1372, -572, 3216, -17062, 4460, -4396
104, -2272, 2568, -18764, 3811, -4453
-628, -2784, 2832, -20766, 1918, -4927
8, -3120, 4692, -22497, 278, -5322
-980, -3644, 7928, -23354, -555, -5654
-896, -4764, 8048, -22480, 1578, -5875
-2384, -5800, 6508, -22292, 4611, -5744
-5344, -7124, 5140, -23916, 7984, -5345
-4272, -9328, 3168, -24725, 11437, -4422
-3924, -11068, 2988, -27247, 11283, -3780
-872, -13356, 6828, -31064, 7857, -4141
-700, -14168, 9436, -31327, 2937, -5033
876, -15332, 15456, -30703, -2981, -6542
-752, -15932, 17832, -28632, -6246, -7803
-3544, -16000, 16524, -27468, -6410, -8081
-4868, -16508, 16012, -26208, -3156, -7648
-5904, -17264, 14976, -25506, 2370, -6768
-5860, -18736, 12848, -25612, 7310, -5435
-5040, -20188, 13240, -26643, 8480, -4467
-3140, -20720, 13272, -26589, 6380, -4065
-3176, -20436, 12748, -26652, 2077, -4220
-900, -20476, 15428, -27303, -2067, -5090
-1332, -20552, 17044, -26057, -2813, -5651
164, -20612, 15680, -24132, 42, -6116
-3688, -20380, 14380, -23508, 2620, -5855
-3976, -20876, 16152, -23446, 4628, -4778
-460, -22300, 12564, -20757, 6753, -4708
-1164, -22636, 8184, -22486, 5220, -5338
-828, -23932, 9052, -22828, 1942, -5437
-440, -24596, 9524, -23010, -1100, -5970
-2704, -24508, 9776, -24443, -3515, -6199
-3656, -24772, 12448, -24742, -3305, -5723
-4512, -24604, 15404, -23772, -1186, -5025
-5784, -24196, 16360, -22280, 2413, -3958
-4460, -23264, 14992, -20640, 5963, -3165
-1864, -23948, 12884, -19388, 9239, -3409
-2144, -23168, 10476, -19936, 9702, -4182
-2212, -22728, 10084, -21047, 8258, -4724
-2840, -22160, 13296, -21031, 5524, -4923
-2752, -21436, 15580, -19669, 3183, -4530
-1520, -20748, 16468, -17476, 1846, -4350
-1076, -19780, 15220, -15739, 1492, -4437
-1968, -19500, 15072, -14579, 1171, -4587
-3260, -19172, 14872, -12914, 643, -4230
-3984, -18796, 14028, -11605, 257, -3583
-3492, -18876, 13308, -10300, 697, -2970
-3300, -18848, 12336, -9596, 1790, -2514
-2588, -18192, 11572, -9510, 3154, -2231
-2540, -17656, 13520, -9436, 3957, -2063
-2320, -17116, 15976, -7663, 4936, -1913
-2356, -16652, 17080, -4941, 6182, -1632
-616, -16436, 17124, -2031, 7966, -1535
1260, -15952, 13348, -943, 12650, -1675
748, -16780, 13440, 2671, 7315, -1729
92, -17012, 10188, 2842, 5925, -2282
488, -16964, 8972, 1476, 3823, -2326
-548, -16412, 11268, 1133, 2030, -2299
-1160, -16204, 13360, 1973, 1158, -2016
-1256, -16240, 13856, 4157, 812, -1645
-1600, -16140, 13520, 4879, 1725, -1454
-1980, -16192, 13524, 6306, 1807, -1062
-1456, -16324, 13020, 7900, 2162, -630
-1200, -16796, 11628, 9717, 2624, -438
-3196, -17144, 9376, 9030, 4511, 253
-2836, -17164, 9964, 8367, 1712, 688
-4008, -17036, 12916, 8796, -1774, 1101
-3220, -17304, 15736, 10269, -2691, 1942
-4024, -17996, 17052, 11979, -1182, 2291
-5376, -17664, 18880, 14264, 396, 3424
-3896, -18248, 18964, 16755, 2310, 4224
-3032, -19252, 17116, 18971, 2523, 4761
-2752, -19780, 14400, 20343, 1433, 5146
-2860, -20404, 13268, 20331, -1161, 5533
-2888, -20752, 13976, 20688, -3344, 5837
-3068, -20676, 14536, 21243, -4667, 6179
-2656, -20748, 15024, 21993, -4868, 6431
-1572, -20700, 15704, 22677, -4459, 6340
-1220, -20820, 15872, 23883, -3811, 5968
-1040, -20896, 16328, 25163, -3074, 5430
-1832, -21268, 16364, 26506, -2380, 5062
-3120, -21624, 15584, 27764, -1547, 5083
-3760, -21428, 13780, 28324, -755, 5543
-3864, -21176, 11616, 27872, -257, 6208
-2808, -20612, 10444, 26756, -74, 6752
-1552, -20160, 10768, 25423, -275, 6790
-1768, -19208, 11752, 24353, -1160, 6558
-2256, -18616, 13712, 24144, -1864, 6615
-1392, -17932, 14852, 24420, -1777, 6537
-1320, -17444, 15616, 24426, -1179, 6221
-2096, -16900, 16072, 24994, -166, 6120
-2484, -16696, 15728, 25749, 630, 6271
-2440, -16044, 14936, 25966, 746, 6383
-2320, -16020, 14116, 26025, 566, 6463
-2976, -15440, 12668, 25748, 51, 6564
-3652, -14352, 12224, 24440, -1090, 6868
-3252, -13712, 12944, 23593, -1334, 6973
-2100, -12896, 13820, 23231, -493, 6817
-1888, -12572, 15060, 23265, 970, 6235
-4680, -11420, 13516, 23058, 1841, 6635
-3540, -10856, 13240, 22794, 2270, 7285
-2800, -10056, 13056, 22251, 1947, 7474
-2268, -9804, 12680, 21786, 1466, 7464
-1932, -8528, 11760, 20814, 799, 7247
-1608, -8360, 11608, 20188, 503, 6799
-2788, -7676, 12072, 18883, 161, 6719
-2676, -7232, 12904, 18223, 255, 6855
-1816, -6244, 12564, 17953, 648, 6829
-560, -5888, 12448, 17295, 768, 6637
-960, -4848, 12120, 16688, 337, 6110
-1480, -4492, 12020, 16276, -483, 5888
-1028, -3712, 11452, 16004, -1080, 5683
-372, -2980, 10888, 15197, -1271, 5153
284, -2320, 9932, 14429, -786, 4684
1028, -2480, 9952, 13683, -116, 3847
80, -1492, 8468, 12777, -47, 3079
-448, -1140, 8308, 11084, -664, 2606
-1104, -504, 8528, 10128, -1138, 2309
-916, -224, 8760, 9350, -970, 2260
-1108, 832, 8580, 8169, -796, 1970
-1200, 1024, 9420, 7441, -1014, 2175
-384, 1800, 9000, 7165, -850, 1878
-364, 2320, 10024, 6978, -1271, 1828
140, 2060, 9188, 6432, -1392, 1386
-664, 2108, 9520, 6105, -2268, 1280
-8, 2324, 9144, 5862, -2192, 1242
-812, 2468, 10260, 4636, -3043, 1011
-944, 2608, 11404, 4578, -2719, 931
-1096, 2580, 12208, 4907, -2400, 957
-1144, 2924, 12008, 4941, -2407, 858
-1732, 3348, 11272, 4833, -2031, 852
-1160, 3244, 11356, 4660, -1446, 815
-1532, 3580, 10952, 4252, -521, 660
-1496, 3744, 10988, 3720, 339, 776
-1476, 3540, 11288, 3252, 1162, 809
-1720, 3448, 11408, 2544, 1382, 817
-1668, 3504, 11872, 2484, 1375, 1086
-1028, 3672, 12020, 2044, 539, 1073
-924, 3960, 12504, 1541, -421, 946
-1080, 4304, 13028, 1331, -1318, 760
-164, 3984, 13736, 1493, -1432, 622
704, 4160, 13564, 1564, -1062, 17
-132, 4312, 13144, 1100, -806, -448
-660, 3972, 13668, 1056, -479, -488
-372, 4012, 13072, 1094, -266, -518
-456, 4016, 12600, 381, -429, -659
-432, 4188, 13336, -338, -777, -883
-1084, 3816, 14976, -630, -1240, -1055
-1672, 3820, 15944, -236, -1484, -1010
-1824, 4028, 15828, 14, -1361, -859
-1056, 4036, 15684, 110, -562, -838
-1068, 4300, 15420, -48, 174, -939
-1568, 4180, 15560, -125, 447, -871
-1424, 4236, 15696, 60, 342, -776
-904, 4252, 15396, 181, 120, -929
-1380, 4408, 15324, 5, -184, -977
-1176, 4516, 15644, -52, -262, -897
-1092, 4396, 15816, 141, -150, -868
-1100, 4228, 15336, 359, 171, -782
-1004, 4232, 14920, -22, 108, -819
-796, 4016, 15352, -421, -57, -946
-796, 3608, 16828, -155, -244, -1448
-2328, 4496, 15544, -71, -374, -1214
-1372, 4100, 16444, -493, -691, -1084
-1164, 4180, 17188, -47, -299, -1228
-1416, 4324, 16716, 368, 247, -1296
-1836, 4332, 16448, 499, 521, -1245
-1764, 4392, 16080, 480, 658, -1115
-1804, 4424, 15568, 532, 775, -1028
-1520, 4412, 15132, 320, 801, -967
-1608, 4248, 15232, 128, 772, -930
-1600, 4224, 15396, -30, 611, -941
-1432, 4216, 15536, -172, 368, -955
-1512, 4176, 15492, -165, 97, -1028
-1220, 3948, 16896, -451, -339, -1317
-2304, 4524, 15392, -330, -370, -1121
-2144, 4264, 16580, -681, -706, -962
-1980, 4144, 16976, 90, -174, -857
-2612, 4300, 15948, 397, 441, -628
-2764, 4196, 15332, -15, 648, -231
-1644, 4156, 15516, -359, 946, -41
-1136, 4024, 16340, -446, 1045, -214
-1320, 4068, 16124, -98, 1005, -284
-1464, 4248, 15912, -364, 383, -417
-1792, 4216, 16108, -271, -122, -330
-1368, 3896, 15884, 65, -38, -176
-1060, 4032, 15488, -501, 96, -384
-1392, 4052, 16244, -807, 312, -480
-1944, 4236, 16968, -435, 350, -377
-2248, 4096, 17128, 60, 278, -170
-1880, 3960, 16472, 434, 389, 51
-1168, 4132, 16160, 48, 527, -140
-1496, 3916, 16388, -84, 773, -278
-2288, 4028, 16304, 52, 670, -62
-2324, 3964, 16008, 69, 428, 272
-1736, 3692, 15772, 158, 432, 528
-764, 3832, 15180, -138, 508, 395
-492, 3996, 14960, -842, 344, 59
-1268, 3888, 16128, -1225, -158, -76
-1768, 3764, 17200, -870, -678, 2
-1436, 3952, 17360, -392, -743, 166
-1056, 3996, 17320, -259, -369, 110
-1268, 3868, 17788, 106, 382, -61
-1864, 4036, 17412, 537, 845, 35
-1512, 3892, 17072, 932, 1132, 238
-1384, 3844, 15964, 1192, 1242, 321
-760, 3780, 14656, 913, 1226, 362
-724, 3868, 14248, 141, 906, 169
-1180, 3920, 14916, -376, 374, 63
-1476, 3884, 16136, -423, -92, 129
-996, 3824, 17096, -92, -226, 90
-872, 3716, 17060, 521, 190, -8
-1256, 3704, 16340, 604, 465, -130
-1364, 3708, 16152, 506, 591, -150
-1588, 3588, 16284, 375, 474, -153
-1676, 3740, 16004, 379, 370, -73
-1608, 3840, 16428, 424, 361, 62
-844, 3784, 16156, 642, 725, 78
-584, 3792, 15788, 760, 1053, -33
-412, 3656, 15508, 603, 1113, -283
-824, 3744, 15668, 383, 686, -549
-1352, 3748, 16024, 181, -42, -652
-1560, 3424, 16672, 471, -335, -623
-1668, 3584, 16712, 640, -238, -644
-1948, 3656, 16492, 616, 74, -483
-1780, 3676, 16468, 657, 446, -332
-1424, 3752, 16544, 749, 729, -388
