-596, -952, 16608, 222, 501, -46
-512, -752, 16536, 168, 646, -82
-476, -832, 16372, 141, 564, -131
-456, -964, 16300, 130, 506, -168
-512, -780, 16552, 21, 218, -258
-564, -896, 16644, -8, 157, -337
-796, -892, 16588, -8, 345, -400
-1176, -868, 16888, -148, 242, -279
-800, -776, 16964, 42, 449, -128
-700, -744, 16712, 90, 489, -204
-736, -888, 16748, 144, 573, -296
-768, -896, 16660, 121, 495, -209
-736, -724, 16688, 99, 446, -216
-788, -732, 16656, 142, 471, -223
-696, -796, 16664, 133, 461, -268
-796, -792, 16568, 121, 507, -266
-696, -872, 16564, 145, 558, -240
-804, -892, 16544, 63, 491, -221
-912, -836, 16640, 16, 496, -200
-900, -784, 16736, 19, 446, -213
-872, -784, 16892, 54, 498, -191
-876, -764, 16900, 181, 617, -178
-792, -784, 16776, 209, 708, -121
-940, -768, 16540, 130, 672, -143
-852, -920, 16604, 176, 703, -97
-940, -880, 16408, 92, 675, -129
-1068, -884, 16420, 19, 667, -130
-1076, -884, 16640, -44, 647, -83
-1092, -844, 16584, -34, 687, -17
-1056, -1000, 16604, -57, 788, 37
-1100, -940, 16752, -133, 715, 136
-756, -988, 16876, -80, 746, 158
-476, -872, 16876, -20, 857, 112
-536, -976, 16856, 8, 880, -17
-564, -944, 16740, 66, 850, -67
-604, -1024, 16660, -32, 666, -79
-752, -952, 16788, -63, 529, -110
-920, -852, 16848, -19, 383, -116
-688, -896, 17012, 5, 401, -58
-732, -1048, 16960, 17, 490, -103
-764, -1052, 16896, 64, 580, -108
-800, -860, 17140, 100, 570, -135
-780, -1076, 17008, 161, 566, -136
-736, -976, 17008, 158, 468, -146
-876, -1008, 16856, 179, 419, -141
-708, -952, 17132, 202, 412, -201
-856, -1036, 16880, 172, 390, -199
-1036, -944, 17012, 171, 290, -153
-868, -1084, 17144, 262, 295, -159
-1092, -1000, 16996, 281, 301, -127
-1236, -1068, 17140, 245, 274, -68
-1184, -1144, 17012, 304, 276, -2
-1012, -1020, 16872, 293, 310, 63
